crop,seeding_rate_lbs_per_acre,year
Cotton,12.38,2015
"Corn, grain",18.82,2016
"Corn, silage",18.82,2016
"Wheat, durum",120.14,2017
"Wheat, spring",103.6,2017
"Wheat, winter",88.88,2017
Soybeans,57.73,2018
