short_desc
"BARLEY - APPLICATIONS, MEASURED IN LB"
"CORN - APPLICATIONS, MEASURED IN LB"
"COTTON - APPLICATIONS, MEASURED IN LB"
"COTTON, UPLAND - APPLICATIONS, MEASURED IN LB"
"PEANUTS - APPLICATIONS, MEASURED IN LB"
"POTATOES, FALL - APPLICATIONS, MEASURED IN LB"
"RICE - APPLICATIONS, MEASURED IN LB"
"SORGHUM - APPLICATIONS, MEASURED IN LB"
"SOYBEANS - APPLICATIONS, MEASURED IN LB"
"SUGARBEETS - APPLICATIONS, MEASURED IN LB"
"WHEAT, SPRING, (EXCL DURUM) - APPLICATIONS, MEASURED IN LB"
"WHEAT, SPRING, DURUM - APPLICATIONS, MEASURED IN LB"
"WHEAT, WINTER - APPLICATIONS, MEASURED IN LB"
