year,crop,residue_removal_percent_acreage,data_source
1994,Wheat,6,ers statistical bulletin 968 table 1
1998,Wheat,13,ers statistical bulletin 974 table 2
2006,Barley,23,biomass energy data book table 5.3
2007,Barley,23,biomass energy data book table 5.3
2006,Wheat,7,biomass energy data book table 5.24
2007,Wheat,7,biomass energy data book table 5.24
