year,global_energy_efficiency_multiplier
1980,1
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,0.993
2001,0.986
2002,0.979
2003,0.972
2004,0.965
2005,0.958
2006,0.951
2007,0.944
2008,0.937
2009,0.93
2010,0.9195
2011,0.909
2012,0.8985
2013,0.888
2014,0.8775
2015,0.863
2016,0.8505
2017,0.842
2018,0.836
2019,0.826
2020,0.816
