Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,323,000",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,364,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,368,500",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,425,500",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,461,600,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,991",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,775,600",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,871,600",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"7,115,410,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,007",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,536,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,671,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,581,570,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,634",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,560,900",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,625,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,001,357,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,845",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,322,500",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,353,500",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"5,188,665,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,923",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,043,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,067,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,173,170,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,001",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,604,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,638,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"6,753,880,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"4,211",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,080,600",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,140,600",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"3,658,590,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,386",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,255,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,288,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,"4,156,840,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,"PEANUTS - YIELD, MEASURED IN LB / ACRE",TOTAL,NOT SPECIFIED,"3,312",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,079,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,PEANUTS,PEANUTS - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,116,000",
