Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"959,600",
SURVEY,2019,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"967,500",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,023,300",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,033,200",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"454,314,000",
SURVEY,2018,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,444,
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,044,500",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,052,600",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"450,921,000",
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,432,
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,037,700",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,056,700",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"450,324,000",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,434,
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,070,900",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,082,900",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"448,611,000",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,419,
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,064,700",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,076,300",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"448,693,000",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,421,
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,060,900",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,074,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"438,662,000",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,413,
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,138,500",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,154,800",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"464,970,000",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,408,
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,078,500",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,100,700",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"430,037,000",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,399,
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,008,900",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,026,700",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"404,549,000",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,401,
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,044,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,071,200",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"432,601,000",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,414,
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,046,900",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,059,600",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"415,055,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,396,
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,122,200",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,141,900",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"444,875,000",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,396,
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,120,200",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,139,400",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"440,698,000",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,393,
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,086,200",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,108,400",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"423,788,000",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,390,
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,166,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,192,400",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"455,806,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,391,
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,249,600",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,273,600",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"458,199,000",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,367,
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,265,900",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,299,600",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"458,171,000",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,362,
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,220,900",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,246,900",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"437,673,000",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,358,
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,347,500",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,383,100",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"513,544,000",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,381,
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,331,800",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,376,100",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"478,093,000",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,359,
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,386,900",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,415,800",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"475,667,000",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - YIELD, MEASURED IN CWT / ACRE",TOTAL,NOT SPECIFIED,343,
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,353,600",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,POTATOES - ACRES PLANTED,TOTAL,NOT SPECIFIED,"1,383,500",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,POTATOES,"POTATOES - PRODUCTION, MEASURED IN CWT",TOTAL,NOT SPECIFIED,"467,091,000",
